latitude,longitude,time
24.6403992,120.8941957,24/11/2025 10:49
24.6847474,120.9343847,24/11/2025 10:52
24.7460695,121.0146502,24/11/2025 10:52
24.7802101,121.0339089,24/11/2025 10:54
24.7801544,121.0338988,24/11/2025 10:54
24.8114141,121.0408451,24/11/2025 10:58
24.8773715,121.0634288,24/11/2025 11:00
24.94079981,121.1164077,24/11/2025 11:03
24.8962973,121.07887,24/11/2025 11:09
25.03868466,121.2412435,24/11/2025 11:14
25.04730159,121.3257657,24/11/2025 11:16
25.0131267,121.2147843,24/11/2025 11:23
25.0475823,121.5157675,24/11/2025 11:31
25.0567125,121.5389628,24/11/2025 11:46
25.0506766,121.5315943,24/11/2025 12:01
25.0506695,121.5315961,24/11/2025 12:01
25.0506741,121.5316091,24/11/2025 12:16
25.0506706,121.5316001,24/11/2025 12:24
25.0507057,121.5316479,24/11/2025 12:24
25.0506726,121.5315949,24/11/2025 12:32
25.0506566,121.5316086,24/11/2025 12:39
25.0506598,121.5315953,24/11/2025 12:39
25.0506754,121.5316044,24/11/2025 12:53
25.0506639,121.5315962,24/11/2025 12:55
25.0506875,121.5315911,24/11/2025 13:08
25.0506735,121.5315938,24/11/2025 13:10
25.0508261,121.5316106,24/11/2025 13:17
25.0506753,121.5316015,24/11/2025 14:30
25.0506813,121.5315947,24/11/2025 14:33
25.0506993,121.5316544,24/11/2025 14:49
25.0508271,121.531709,24/11/2025 15:04
25.0506911,121.5316178,24/11/2025 15:08
25.0506911,121.5316178,24/11/2025 15:10
25.0506626,121.5315875,24/11/2025 15:19
25.05067,121.5315963,24/11/2025 15:34
25.0506709,121.5316116,24/11/2025 15:50
25.0506596,121.5315967,24/11/2025 16:05
25.0506711,121.5316019,24/11/2025 16:20
25.0506539,121.5315977,24/11/2025 19:29
25.0506765,121.5315938,24/11/2025 20:15
25.050683,121.531597,24/11/2025 20:30
25.0506778,121.5315946,24/11/2025 20:46
25.0506796,121.5315997,24/11/2025 23:04
25.0506854,121.5315903,24/11/2025 23:14
25.0506801,121.5315885,24/11/2025 23:19
25.0506778,121.5315962,24/11/2025 23:29
25.0506617,121.531591,24/11/2025 23:35
25.0506693,121.5315934,24/11/2025 23:50
25.0506705,121.5315912,25/11/2025 00:05
25.0506741,121.5315987,25/11/2025 00:16
25.0506694,121.531592,25/11/2025 00:20
25.0506573,121.5316059,25/11/2025 00:45
25.0506573,121.5316059,25/11/2025 00:47
25.0506679,121.5315916,25/11/2025 00:56
25.0506698,121.5315908,25/11/2025 01:11
25.0506574,121.5316033,25/11/2025 02:48
25.0506771,121.5316103,25/11/2025 02:53
25.0506725,121.5315987,25/11/2025 02:53
25.0506792,121.5315906,25/11/2025 02:58
25.05989296,121.5369997,25/11/2025 03:06
25.0730224,121.53812,25/11/2025 03:08
